,code,img_name,manipulation,vm,am,valence,arousal,label
60,maba09,482_a1cd28915c5044c018195ab0fff10dcc95e385246b045a7cd4463ff7_circblurint.jpg,circularblurringint,-3.361852,-1.555612,-0.720973783,-1.985018727,LVLA
61,maba09,416_5eb54976bb41ce2a6d129ef985f792e716f010fb9b69b15f50f5d2db_bw.jpg,blackwhite,-2.58766,2.602972,0.683520599,-0.393258427,LVHA
62,maba09,759_95e1c46ed9a337414d5c8eada8fa8b9632e18751f5ce6ed587806e91_edges.jpg,edges,2.126984,0.0,0.121722846,-2.705992509,HVLA
63,maba09,646_577760d718dab44c6f04d77408c5644a120065ce07a9503957d0850a_edges.jpg,edges,-2.690668,2.61324,-0.505617978,-2.612359551,LVHA
64,maba09,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_circblurext.jpg,circularblurringext,-3.016216,1.69404,0.365168539,-0.973782772,LVHA
65,maba09,442_7449d79dae5d652af9b2429872cabdef938646ba024db2f431b3b28d_circblurint.jpg,circularblurringint,1.619048,0.126984,-1.573033708,1.423220974,HVHA
66,maba09,48_2cc936b2483ab2944c9158e163342b874ef6c1492fd8fca08c0e096e_blur.jpg,blurring,-1.264224,-0.779604,-1.404494382,1.217228464,LVLA
67,maba09,620_9674719009d75dcfeaed7f15932c43e1fd1af5e25d47b8aadd61efe2_orig.jpg,original,-0.561364,1.142084,-1.38576779,-2.003745318,LVHA
68,maba09,1061_665178b9cb0bc869cc2e2b68def4838db04e66f9531098fb75875a09_circblurint.jpg,circularblurringint,0.3492064,-0.3174604,0.402621723,0.945692884,HVLA
69,maba09,365_45a719cabbc9aa308c4fcb30d529489c6966ac4073874af84f665c61_circblurint.jpg,circularblurringint,2.507936,-1.968252,0.95505618,0.805243446,HVLA
70,maba09,431_ab5a1dbbe9292ac7f74e276cdabcd372e2c1f852ff34bf7cc6646ef8_circblurint.jpg,circularblurringint,3.102584,0.354334,1.732209738,0.936329588,HVHA
71,maba09,368_6507b94d7d0199f14efd3706db30c9c44b96085f84e9cc7792e3e0ae_circblurint.jpg,circularblurringint,1.959544,0.400336,2.02247191,2.677902622,HVHA
72,maba09,48_2cc936b2483ab2944c9158e163342b874ef6c1492fd8fca08c0e096e_orig.jpg,original,-1.264224,-0.779604,2.116104869,3.052434457,LVLA
73,maba09,28_6318543b74eeb646a1735477ebc023fdc9ac3849bc0db1957c272a26_orig.jpg,original,2.811244,-0.74584,0.374531835,2.134831461,HVLA
74,maba09,692_e3e3bf88684fbbcdb9849a4147f9e2fcd39b0f083554a829aca4e9fa_bw.jpg,blackwhite,-0.44522,3.135888,-0.121722846,-1.91011236,LVHA
75,maba09,365_45a719cabbc9aa308c4fcb30d529489c6966ac4073874af84f665c61_circblurext.jpg,circularblurringext,2.507936,-1.968252,0.252808989,-0.917602996,HVLA
76,maba09,686_6745b57686ad5d1bd6cf3e7ed5bc0243a154f8939e88e30321dfcfdb_blur.jpg,blurring,-1.523808,3.650792,-1.245318352,-1.488764045,LVHA
77,maba09,347_27f0e47c2722605b950ccf9fa900f78271e4c3c874064ab5dacac160_circblurint.jpg,circularblurringint,1.838948,0.3097172,1.151685393,1.460674157,HVHA
78,maba09,365_45a719cabbc9aa308c4fcb30d529489c6966ac4073874af84f665c61_orig.jpg,original,2.507936,-1.968252,0.280898876,-1.301498127,HVLA
79,maba09,82_43f4d5aec7c2e5bd495473f6708a0f2d47c9fe34e1fe9436646cb036_blur.jpg,blurring,2.022756,0.505688,1.001872659,1.142322097,HVHA
80,maba09,293_3dfdfafc0c6a54b2da7453750ac281f7718c0b3337b0a74c4563d6bd_bw.jpg,blackwhite,-2.574524,2.632596,0.767790262,-2.219101124,LVHA
81,maba09,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_orig.jpg,original,-3.016216,1.69404,0.196629213,-2.771535581,LVHA
82,maba09,156_08e8cf8f04630e9213e610580de73f51572d1d589878648700bae4dc_circblurint.jpg,circularblurringint,2.222224,0.0,-0.365168539,-2.734082397,HVLA
83,maba09,396_208259ea431d47bb7f3946213eb099834eb119756ce304ad473d4d9f_bw.jpg,blackwhite,2.857144,-0.3809524,-1.132958801,-2.715355805,HVLA
84,maba09,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_circblurint.jpg,circularblurringint,-3.016216,1.69404,-1.582397004,-2.565543071,LVHA
