n200,valence
-4.911386104675695,-1.254681648
-3.968047941944906,0.046816479
-19.393042127471894,-2.134831461
-4.986960470084799,-0.823970037
-18.836876980525318,2.958801498
8.554352259314527,-3.960674157
-9.088607400977985,-2.93071161
-22.464272718599247,-2.162921348
-15.522312351286597,-1.938202247
-13.013437183140777,-3.108614232
-13.93099372424791,-2.097378277
-14.468902478439349,-0.983146067
-3.7364920267139383,-0.992509363
-10.266059399605075,-1.058052434
-6.694157358323871,-2.200374532
-4.121366565554488,-1.11423221
-4.8433537089251235,-0.056179775
-14.788845312411079,-1.020599251
-10.994211451814538,-1.020599251
-6.7279286369979046,-0.964419476
-12.862881112465322,-0.983146067
-3.3192616968814046,-0.205992509
-17.473136688031364,0.065543071
-10.317563321867128,0.992509363
-11.9939776475923,-3.005617978
-13.087055933600336,-0.037453184
-11.499591171651792,-2.041198502
-17.243553673014105,3.93258427
-13.188269418334183,0.842696629
-3.5286095424249475,-0.084269663
-0.31981054465552416,-2.059925094
-10.23223142518457,0.833333333
-25.820167075694755,-2.474213236
-17.06355205204727,0.3026963
0.34683283987150176,-2.250481188
-14.294454504448526,-1.960945597
-13.245599762080857,-1.671410005
-7.972144794139442,-1.631927879
-11.496109477256043,-2.592659615
-11.687742458008596,-4.0
-12.01947844160814,-0.355339135
-27.151131638790922,0.421142679
-18.740270529880686,-3.44810568
-21.405879811073934,-1.158142366
5.102395346669511,-1.93462418
-8.248239520743251,0.644874727
-11.57756318451959,-1.960945597
-7.4218803475474395,0.697517561
-8.83541287296147,-3.053284419
-5.782602132935367,-1.329231579
-4.554494894434323,-1.697731423
-16.520912541972745,2.64530245
-0.6131092585368741,-1.302910162
-17.467226844117203,1.395035123
-1.1431010004554971,-1.671410005
-8.859829000099321,-2.803230954
-18.86652787117531,-1.750374258
-18.363663285844137,-2.474213236
-0.684313280412837,-2.724266702
-5.252440491153434,-2.474213236
-3.6188424895739275,-4.0
-7.812050594678364,-1.079178114
-11.678313022834669,0.131607087
-2.4445962282097913,-1.658249297
-16.27069302890638,-0.329017718
-14.013331846489214,-4.0
-29.616630928374764,0.644874727
-2.548924623813308,-1.473999375
-10.486354189996648,0.342178426
-9.902431413019842,1.658249297
-14.894469899844333,-4.0
-23.866964299108574,-2.829552371
-15.195482305008998,-1.750374258
-19.230294082142468,-2.658463158
-11.194461933938095,-1.763534966
-13.619810504976934,-1.223945909
-3.773123358863522,0.131607087
-9.841323119405002,0.052642835
-5.7694007165921946,-2.145195519
-8.99309775861692,-2.303124023
-2.4532169202623675,-1.01337457
-5.1373807638810565,0.671196144
-9.419787850877274,-2.73742741
-3.278361337792354,-0.473785513
-13.835925688164263,-2.94799875
-11.349954228976243,1.289749453
0.27452719020907634,2.94799875
