n200,valence
5.608328456576149,-4.0
-11.343672111036073,-0.789642522
-19.375846892216398,-1.776695675
-9.39204740480705,-2.000427723
-12.57099782370239,0.40798197
-17.553991469241776,0.736999687
-1.2142392748301585,0.750160396
-24.54890333221847,-0.592231892
-13.519992952814311,-1.566124336
-10.000409121599496,1.263428036
-5.052594509609515,0.868606774
-3.858216671840402,-0.434303387
-19.98831114161354,0.723838979
2.52151410951868,-3.013802293
-14.818128992908122,-4.0
-8.930616605174441,2.408409693
-10.336491413998464,-2.618981032
-2.617178686274736,4.0
-6.76918455209799,-0.355339135
-11.37235153627285,0.329017718
-12.835849165802733,0.513267639
-15.223611690653636,3.277016467
2.871814409436902,0.789642522
-5.935380897585808,-0.618553309
0.5467669836807334,-2.684784576
-6.626298838714801,-1.329231579
-5.116546268376981,0.299625468
-28.019429642664104,0.496254682
-4.429481628494524,1.189138577
2.9293516992033433,-1.816479401
-0.7629955232460195,-0.402621723
-5.876779552422956,-0.196629213
-16.278411992042614,-0.833333333
-7.027111863301611,-0.664794007
-14.912944577420909,1.179775281
-12.01165893566412,1.460674157
-27.34178901121294,1.676029963
-16.116126801167177,-0.346441948
-14.349607347423962,1.142322097
13.106604313601004,-1.095505618
-13.443078268672549,-1.460674157
7.858568277229239,0.823970037
-12.162056128904677,0.79588015
-17.77097978885794,0.308988764
3.393770055108528,0.758426966
-1.6578801222894484,-1.43258427
-4.0957726068556655,0.861423221
8.143151296823303,0.037453184
-24.300996481183223,-0.552434457
-6.424254280050379,-1.142322097
4.936782171893237,-0.646067416
-17.809314325608337,-0.74906367
-26.79627092063486,-1.104868914
-1.1640721650757784,-1.54494382
-13.11434008998948,-1.001872659
-26.284983582199835,0.58988764
-12.859606788844498,-0.852059925
-3.89924710890776,-1.282771536
-2.5107558799434706,-0.149812734
-19.192199607974924,1.301498127
1.7444082545665407,-0.234082397
-0.5051221205697126,-1.367041199
-17.62084900771966,0.47752809
-0.4317723682058449,-0.767790262
