n200,valence
-16.547937672072358,-1.142322097
-11.108200242595272,-0.926966292
-2.211866732576932,-0.992509363
-11.323677467185194,0.964419476
-0.84510175376908,-2.031835206
-5.474382021340772,-2.078651685
-11.034351369863744,-0.028089888
-11.537066109719294,-2.031835206
-4.7463139000779115,-2.050561798
-14.873377198358485,-1.947565543
-13.769801586309887,-1.011235955
-3.719071496366019,-2.125468165
-18.112931383291425,-1.039325843
-10.039396073382475,-1.919475655
-6.475987479978875,-1.975655431
-3.9175262076559396,0.870786517
-9.199438551598194,-0.992509363
-6.75087433821361,-1.020599251
-5.593872864324586,-0.973782772
-12.112067012397418,-2.041198502
-8.693972878323702,-1.048689139
-10.165880534083172,-3.88576779
0.17886452200390957,-1.189138577
-11.100013974087254,-1.900749064
-16.243329705117013,1.985018727
-5.247191318404749,0.889513109
-12.403145320774327,-2.893258427
-13.840215562176715,2.93071161
-12.029376742323397,-2.031835206
-11.50465110304976,-2.041198502
-6.553691927968837,-3.014981273
-12.022411957277681,-2.02247191
-2.3877784354386145,-0.009363296
-6.993558574783966,-1.928838951
-6.984160767333063,-1.844569288
-6.10614557482744,-2.031835206
-9.805391403032303,-0.964419476
-13.167607662583526,-1.011235955
-15.06403521173191,-2.097378277
-12.116650518937659,-2.041198502
-7.854465243161156,-2.940074906
-19.19483843819812,-1.891385768
-2.7829762018168562,3.895131086
-16.519440092702414,0.037453184
-6.57933374285094,-3.033707865
-13.181844773756765,-1.048689139
-4.383728338033459,-2.237827715
-17.35133761107657,-1.86329588
-12.018711782605756,-1.104868914
-17.06077476534918,-3.061797753
-3.034876839640451,-2.06928839
1.2528690177652633,-0.102996255
-15.034991428684277,-1.985018727
-16.55131236017741,-1.900749064
-4.245049949232363,2.837078652
-17.888471825372864,-0.973782772
-8.240519161960226,-1.91011236
-16.16378130750502,-0.046816479
-14.044616783747985,0.046816479
-12.65997665706679,-1.011235955
-6.731404396803331,-1.985018727
-5.492071468202845,-1.151685393
-7.77350381436323,0.936329588
-4.911386104675695,-1.254681648
-3.968047941944906,0.046816479
-18.858430630998445,-2.949438202
-19.393042127471894,-2.134831461
-4.986960470084799,-0.823970037
-9.956130461870906,-1.928838951
-18.836876980525318,2.958801498
8.554352259314527,-3.960674157
-9.088607400977985,-2.93071161
-6.493825467724844,-3.146067416
-4.735135979573678,-2.013108614
-22.464272718599247,-2.162921348
-9.41144988272398,-2.003745318
-15.522312351286597,-1.938202247
-13.013437183140777,-3.108614232
1.8608088960169558,-2.088014981
-11.932453723802126,-2.865168539
-10.996994308078046,-2.134831461
-13.93099372424791,-2.097378277
-14.468902478439349,-0.983146067
5.2982149949319055,-2.050561798
-3.7364920267139383,-0.992509363
-10.266059399605075,-1.058052434
-6.51940976483205,-3.071161049
5.363113448874101,-2.059925094
-6.694157358323871,-2.200374532
-4.121366565554488,-1.11423221
-8.270359397237113,0.898876404
4.103418556682604,-1.985018727
-7.345936202802214,-2.013108614
0.24743602358802735,-2.003745318
-1.3666412909419696,-2.003745318
-1.8387662395458628,-1.985018727
-4.8433537089251235,-0.056179775
-12.236041873073962,-2.041198502
-6.461333811704288,-1.029962547
-9.440123042096703,-1.928838951
2.522199153259892,-1.938202247
-5.430527675911393,-2.06928839
-3.962623880201946,-2.041198502
-18.19955972208001,-2.93071161
-17.900793661855683,-2.162921348
-14.788845312411079,-1.020599251
-9.627867313570238,-2.874531835
-10.584331752596853,-1.919475655
-9.972530754486023,0.018726592
-7.862174928522011,-0.95505618
-10.994211451814538,-1.020599251
-4.087484218567195,-1.947565543
-4.2625381028966505,-1.938202247
-2.7946153731792993,-1.020599251
-9.130633806150858,-2.013108614
-15.206414225394784,-1.994382022
-13.938731470117544,-3.043071161
7.065390731375761,-1.928838951
-9.272035297931327,-2.059925094
3.1551307569664044,-1.095505618
-23.388354361261715,-2.996254682
-6.598880900776579,-2.846441948
0.44798932399608743,-1.123595506
-6.7279286369979046,-0.964419476
-6.239077953279043,-2.050561798
-19.19899817673239,-2.088014981
-12.862881112465322,-0.983146067
-4.905582903704232,-2.041198502
-7.866799467040066,-1.975655431
-15.987914387816703,-2.02247191
-3.3192616968814046,-0.205992509
-17.473136688031364,0.065543071
-2.3722255592254013,-2.050561798
-3.2682529011504102,-2.02247191
-10.937933826673566,-0.992509363
-10.317563321867128,0.992509363
-11.9939776475923,-3.005617978
0.949497748473247,-2.097378277
-6.5975377149348695,-3.876404494
-10.238278789613606,-1.994382022
-7.450322256403834,-2.958801498
-9.043774526226827,-2.93071161
